,NL1,NL1t,RE1t,NL2,RE1,LEVEN_Norm,SBERT_Norm,BLEU_Norm,DEP_Norm,Consistence,Relation,REG_Norm,DFA_Norm,HYB_Norm,LEVEN,DEP,SBERT,BLEU,REG,DFA,HYB,Translation_Label_Consistent
11,"lines with the string <M0> or containing only the string <M1> , three or more times","A line with <M0> a string or contains only a <M1> string, three times or more","( ( . * [ <M0> ] . * ) | ( [ <M1> ] ) ) { 3 , }",线与字符串<M0> 或只包含字符串<M1> ，三次或三次以上,"( ( <M0> ) | ( <M1> ) ) { 3 , }",0.389350147,0.921636811,0.804582868,0.238095238,TRUE,no intersection,0.46031746,2.89E-05,0.20790118,0.530120482,5,0.968945952,0.732793714,0.555555556,2.89E-05,0.277792252,correct
12,lines starting with letters and containing the string <M0>,A line that begins with a letter and contains <M0> a string,( <LET> . * <M1> . * ),以字母开头并包含字符串的行<M0>,(( [ <LET> ] ) + ( . * ) ) & ( . * <M0> . * ),0.410204619,0.893400834,0.584447152,0.333333333,TRUE,subset,0.19047619,0,0.086021505,0.542372881,7,0.960526412,0.605979379,0.333333333,0,0.166666667,bug
13,"lines with a lower-case letter or a vowel , 6 or more times","Lines of lowercase letters or unants, 6 or more times","( ( [ <LET> ] ) + | ( [ <M0> ] ) ) { 6 , }",小写字母或元音的行，6次或更多次,"( ( [ <LOW> ] ) | ( [ <VOW> ] ) ) { 6 , }",0.69869149,0.772722917,0.60897361,0.19047619,TRUE,subset,0.532967033,0.0094339,0.245868218,0.711864407,4,0.924542084,0.620108419,0.615384615,0.0094339,0.312409258,bug
14,"lines arranged with vowels then an uppercase letter , 6 or more times","Rows arranged in a phonetic tone, followed by a capital letter, 6 or more times","( [ <M0> ] . * [ <NUM> ] . * ) { 6 , }",用元音排列的行，然后一个大写字母，6次或更多次,"( [ <VOW> ] . * [ <CAP> ] . * ) { 6 , }",0.413491179,0.764953334,0.376602494,0.476190476,TRUE,no intersection,0.558441558,0,0.252199413,0.544303797,10,0.922225312,0.486245596,0.636363636,0,0.318181818,bug
15,lines with a number followed by a character at least once,The line is followed by a number of characters at least once,( . * [ <NUM> ] . * ) +,行与数字后面的字符至少一次,( [ <NUM> ] . * . . * ) +,0.451554404,0.86153117,0.864032722,0.333333333,TRUE,superset,0.73015873,0.39398,0.545802652,0.566666667,7,0.95102336,0.767041195,0.777777778,0.39398,0.585878889,bug
16,lines consisting of the string <M0>,A line made <M0> up of strings,. * ( [ <NUM> ] ) . * ( [ <NUM> ] ) . * . *,由字符串<M0> 组成的行,. * <M0> . *,0.07061436,0.636225828,0.254191719,0.238095238,TRUE,intersection,0.132653061,0,0.059907834,0.342857143,5,0.883840719,0.415728002,0.285714286,0,0.142857143,bug
17,lines containing a lower-case letter at least one time in front of a character,Lines that contain lowercase letters are at least once before the character,. * ( ( [ <LOW> ] ) + ) . * ( . ) . *,包含小写字母的行在字符前至少一次,. * ( ( [ <LOW> ] ) + ) . * ( . ) . * . *,0.490833001,0.515921758,0.592131823,0.857142857,TRUE,subset,0.857142857,1,0.935483871,0.58974359,18,0.847967867,0.610406314,0.882352941,1,0.941176471,correct
18,"lines with words that have either the string <M0> , an uppercase letter , or digits","A line of words, with <M0> strings, capital letters, or numbers",. * ( [ <M0> ] ) | ( [ <CAP> ] + ) | ( [ <NUM> ] + ) . *,行的单词，有字符串<M0> ，大写字母，或数字,\ b ( <M0> ) | ( [ <CAP> ] ) |( [ <NUM> ] ) + \ b,0.225294962,0.854174931,0.234501232,0.476190476,TRUE,intersection,0.488721805,0.0239361,0.233839321,0.43373494,10,0.948829841,0.404384835,0.578947368,0.0239361,0.301441734,correct
19,"lines arranged with a vowel before a capital letter , greater than or equal to 6 times in total",Lines arranged in unuts before capital letters are 6 times greater or equal to the total,"( ( [ <M0> ] ) . * ( [ <CAP> ] ) . * ) { 6 , }",大写字母前用元音排列的行，大于或等于总的 6 倍,"( [ <VOW> ] ) . * ( ( [ <CAP> ] ) { 6 , } ) . *",0.544123262,0.619097623,0.775980335,0.619047619,TRUE,error re!,0.271428571,0,0.122580645,0.621052632,13,0.878733348,0.716316555,0.4,0,0.2,bug
20,"lines arranged with the string <M0> before a string that is not a vowel , 2 or more times","Rows are arranged <M0> with strings before, not metans, 2 or more times","~ ( ( [ <NUM> ] ) + { 2 , } )",行排列与字符串<M0> 之前，不是元音，2次或更多次,"( <M0> ) . * ( ~ ( ( [ <VOW> ] ) { 2 , } ) ) . *",0.347645107,0.357049273,0.552332318,0.857142857,TRUE,error re!,0.165178571,0,0.074596774,0.505617978,18,0.800594498,0.587478876,0.3125,0,0.15625,bug
21,"lines not having the string <M0> , not characters , nor a number","The line has no <M0> string, no characters, and no number",~ ( ( <M0> ) & ( . ) + & ( [ <NUM> ] ) ),行没有字符串<M0> ，没有字符，也没有一个数字,~ ( ( <M0> ) & ( . ) + & ( [ <NUM> ] ) ),0.444462435,0.892531937,0.53612909,0.285714286,TRUE,superset,1,1,1,0.5625,6,0.960267319,0.578144628,1,1,1,correct
22,lines with numbers or a vowel at least one time ,line with numbers or phonetics at least once,( ( [ <NUM> ] ) + | ( [ <M0> ] ) + ) +,行与数字或元音至少一次,( ( [ <NUM> ] ) + | ( [ <VOW> ] ) ) +,0.657221503,0.8595366,0.68993241,0.19047619,TRUE,superset,0.653061224,0.280851,0.44894594,0.6875,4,0.95042861,0.666746632,0.714285714,0.280851,0.497568357,bug
23,"lines not containing only the string <M0> , greater than or equal to 0 times","A line contains more than <M0> 0 times the string, greater than or equal to","( . * <M0> . * ) { 4 , }",线不只包含字符串<M0> ，大于或等于0倍,~ ( ( <M0> ) * ),0.270895828,0.438491607,0.821874484,0.619047619,TRUE,intersection,0.241071429,0,0.108870968,0.460526316,13,0.824879369,0.742754954,0.375,0,0.1875,bug
24,"rows with a number , 7 or more times","row with numbers, 7 or more times","( [ <NUM> ] ) { 7 , }",行与数字，7次或更多次,"( [ <NUM> ] ) { 7 , }",1,0.962532477,0.873049509,0.047619048,TRUE,equivalence,1,1,1,0.888888889,1,0.981140421,0.772235526,1,1,1,correct
25,"lines ending with vowels , zero or more times","A line ending in a phonetic, zero or more times",( ( . * ) ( [ <M0> ] ) ) *,以元音结尾的行，零或更多次,( ( . * ) ( [ <VOW> ] ) + ) *,0.71833315,0.876221673,0.627536928,0.095238095,TRUE,intersection,0.595238095,1,0.817204301,0.723404255,2,0.955403846,0.630802254,0.666666667,1,0.833333333,bug
26,lines arranged with a number followed by the string <M0> before a letter,"Rows are arranged with numbers, and then <M0> strings before letters",( [ <NUM> ] ) ( [ <M0> ] ) . * ( [ <LET> ] ) + . *,行排列与数字，然后字符串<M0> 在字母之前,( [ <NUM> ] . * <M0> . * ) . * ( [ <LET> ] ) . *,0.409002591,0.640764257,0.68232344,0.714285714,TRUE,subset,0.544642857,6.86E-05,0.24600537,0.541666667,15,0.88519401,0.662363307,0.625,6.86E-05,0.312534308,bug
27,"strings with a lower-case letter or an uppercase letter , 7 or more times","Strings with lowercase or capital letters, 7 or more times","( [ <LOW> ] | [ <CAP> ] ) { 7 , }",带有小写字母或大写字母的字符串，7 次或更多次,"( ( [ <LOW> ] ) | ( [ <CAP> ] ) ) { 7 , }",0.676165803,0.917687856,0.602952365,0.238095238,TRUE,equivalence,0.514285714,1,0.780645161,0.698630137,5,0.967768434,0.61663974,0.6,1,0.8,correct
28,lines ending with words that contain only an uppercase letter,A line that ends with a word that contains only capital letters,( . * \b ( [ <LET> ] ) + \ b ),以仅包含大写字母的单词结尾的行,( . * ) ( \ b [ <CAP> ] \ b ),0.51369356,0.675542198,0.565569016,0.285714286,TRUE,subset,0.514285714,0.27826,0.384852258,0.603174603,6,0.895564265,0.595104187,0.6,0.27826,0.43913,bug
29,lines containing only a letter,A line that contains only letters,( [ <LET> ] + ),仅包含字母的行,[ <LET> ],0.518605747,0.832474098,0.58238341,0.142857143,TRUE,no intersection,0.089285714,0.0188679,0.050669494,0.606060606,3,0.942358981,0.604790512,0.25,0.0188679,0.13443395,bug
30,rows not having a vowel then a character,"The line has no unants, and then one character",( [ <NUM> ] ) & ( [ <NUM> ] . * . . * ),行没有元音，然后一个字符,~ ( [ <VOW> ] . * . . * ),0.301081325,0.241693126,0.250086047,0.380952381,TRUE,no intersection,0.494047619,0,0.22311828,0.47826087,8,0.766197042,0.413362833,0.583333333,0,0.291666667,bug
31,lines with a vowel or lettered words at least once,A line with a u-tone or letter word at least once,( ( [ <M0> ] ) | ( [ <LET> ] ) + ) +,至少一次带有元音或字母单词的行,( ( [ <VOW> ] ) |( [ <LET> ] ) + ) +,0.814663212,0.827110764,0.737811241,0.142857143,TRUE,subset,0.71978022,1,0.873449132,0.78,3,0.940759717,0.694328354,0.769230769,1,0.884615385,bug
32,"rows with words that have a character , 2 or greater times","Lines of words have one character, 2 or more times",". * \ b ( . ) { 2 , } \ b",行的单词有一个字符，2次或更多次,"\ b ( . ) { 2 , } \ b",0.514159371,0.560793384,0.438887459,0.142857143,TRUE,equivalence,0.696428571,0.507936,0.593061677,0.603448276,3,0.861347907,0.522126309,0.75,0.507936,0.628968,correct
33,"strings with a letter followed by a lower-case letter , zero or more times","Strings with letters, followed by lowercase letters, zero or more times",( [ <LET> ] . * [ <LOW> ] . * ) *,字符串与字母，然后是小写字母，零或更多次,( [ <LET> ] . * [ <LOW> ] . * ) *,0.982110349,0.940862754,0.955081005,0.333333333,TRUE,subset,1,1,1,0.878378378,7,0.974678837,0.819491691,1,1,1,bug
34,"lines with words that don't have a character , 0 or more times","line, without a character, 0 or more times",~ ( ( . ) * ),行的话，没有一个字符，0或更多倍,( \ b ~ ( . ) \ b ) *,0.585157948,0.562542914,0.460210352,0.380952381,TRUE,intersection,0.325396825,1.53E-05,0.146961781,0.64516129,8,0.86186959,0.534409861,0.444444444,1.53E-05,0.222229859,correct
35,"strings with a character or a number , seven or more times","A string of characters or numbers, seven or more times","( ( . ) + | ( [ <NUM> ] + ) ) { 7 , }",字符或数字的字符串，七次或更多次,"( ( . ) | ( [ <NUM> ] ) ) { 7 , }",0.807620154,0.800790505,0.784921493,0.047619048,TRUE,intersection,0.797619048,0.0156,0.368769892,0.775862069,1,0.932911414,0.721467318,0.833333333,0.0156,0.424466667,correct
36,"lines ending with the string <M0> followed by a character , up to 3 times","The line ends with a character, <M0> followed by a character, up to 3 times","( ( . * ) . ( [ <M0> ] . * . ) ) { , 3 }",行以字符结尾，<M0> 然后是字符，最多3次,"( ( . * ) ( <M0> . * . . * ) ) { , 3 }",0.735233161,0.930713866,0.775794463,0.19047619,TRUE,intersection,0.620535714,2.91E-05,0.280257868,0.733333333,4,0.971652592,0.716209479,0.6875,2.91E-05,0.343764527,bug
37,"strings preceded by the string <M0> , up to 6 times","String before string, <M0> up to 6 times","( [ <M0> ] ) { , 6 }",字符串之前的字符串<M0> ，高达6倍,"( ( <M0> ) ( . * ) ) { , 6 }",0.588387687,0.924167964,0.546575161,0.476190476,TRUE,intersection,0.271428571,0.0220994,0.134699671,0.647058824,10,0.969700704,0.584162331,0.4,0.0220994,0.2110497,bug
38,lines not having the string <M0> or starting with the string <M1>,There is no <M0> string or a line that starts with a string <M1>,( ~ ( [ <M0> ] ) | ( [ <M1> ] . * ) ),没有字符串<M0> 或从字符串开始的行<M1>,( ~ ( <M0> ) ) | ( ( <M1> ) ( . * ) ),0.272618573,0.615707672,0.624209927,0.380952381,TRUE,subset,0.620535714,0,0.280241935,0.461538462,8,0.877722516,0.628885657,0.6875,0,0.34375,correct
39,lines containing the string <M0> before a vowel and the string <M1>,<M0> A line that contains a phonetic and a string before a string <M1>,. * ( ( [ <NUM> ] ) & ( . ) ) . * ( <M1> ) . * . *,<M0> 包含元音和字符串前字符串的行<M1>,. * ( ( <M0> ) . * ( [ <VOW> ] ) . * ) & ( <M1> ) . *,0.110340801,0.813590475,0.621668461,0.380952381,TRUE,intersection,0.453571429,0,0.20483871,0.366197183,8,0.936728171,0.627421586,0.55,0,0.275,bug
40,rows with words that have starting with lettered words at least one time ,Lines and words that begin with a letter word at least once,( \ b ( [ <LET> ] ) + ( . * ) \ b ),行与单词，以字母单词开头至少一次,\ b (( [ <LET> ] ) + ( . * ) ) + \ b,0.512953368,0.833560414,0.457706526,0.80952381,TRUE,equivalence,0.532967033,1,0.789081886,0.602739726,17,0.942682904,0.532967473,0.615384615,1,0.807692308,correct
41,lines with the string <M0> at least once and not the string <M1>,"A line and a <M0> string at least once, not a string <M1>",( ( [ <M0> ] ) + ) & ( ~ ( <M1> ) ),线与字符串<M0> 至少一次，而不是字符串<M1>,( ( <M0> ) + ) & ( ~ ( <M1> ) ),0.524247085,0.893688772,0.738004296,0.428571429,TRUE,no intersection,0.838095238,1,0.92688172,0.609375,9,0.96061227,0.694439568,0.866666667,1,0.933333333,bug
42,the line starts with characters or a number before a letter,The line begins with a character or number before the letter,( ( . ) | ( [ <NUM> ] ) ) . * ( [ <LET> ] ) . *,行以字母前的字符或数字开头,( ( . ) + | ( ( [ <NUM> ] ) . * ( [ <LET> ] ) . * ) ) ( . * ),0.791968912,0.939901883,0.814723614,0,TRUE,superset,0.52484472,0.144593,0.316319583,0.766666667,0,0.97439232,0.738635528,0.608695652,0.144593,0.376644326,correct
43,"lines with a number before a vowel , up to 2 times","Number line before the phonetic, up to 2 times","( [ <NUM> ] ) . * ( ( <M0> ) { , 2 } ) . *",元音前的数字行，最多2次,"( [ <NUM> ] ) . * ( ( [ <VOW> ] ) { , 2 } ) . *",0.372124352,0.754288662,0.541161667,0.380952381,TRUE,equivalence,0.906593407,0.000247954,0.409565255,0.52,8,0.919045268,0.581043761,0.923076923,0.000247954,0.461662439,bug
44,lines starting with the string <M0> or a vowel,A line <M0> that starts with a string or a phonetic,\ b ( . ) | ( [ <NUM> ] ) \ b,从字符串<M0> 或元音开始的行,( ( <M0> ) | ( [ <VOW> ] ) ) ( . * ),0.221274002,0.775121151,0.526894266,0.19047619,TRUE,intersection,0.252747253,0,0.114143921,0.431372549,4,0.925257201,0.572824691,0.384615385,0,0.192307692,bug
45,"lines containing either a lower-case letter , a capitalized letter , or the string <M0>","A line that contains lowercase letters, capital letters, or <M0> strings",. * ( [ <LOW> ] + ) | ( [ <CAP> ] + ) | ( <M0> ) . *,包含小写字母、大写字母或字符串的行<M0>,. * ( [ <LOW> ] ) | ( [ <CAP> ] ) | ( <M0> ) . *,0.465249241,0.836826705,0.528906871,0.476190476,TRUE,intersection,0.857142857,0.714285,0.778801452,0.574712644,10,0.943656863,0.573984099,0.882352941,0.714285,0.798318971,correct
46,lines with a number or containing only the string <M0> at least once,Rows with numbers or strings only <M0> at least once,( ( [ <NUM> ] ) + | ( [ <LET> ] ) + ) +,带有数字或仅包含字符串的行<M0> 至少一次,( ( [ <NUM> ] ) | ( <M0> ) ) +,0.563357208,0.716407343,0.577660017,0.333333333,TRUE,subset,0.696428571,0.0281618,0.329959697,0.632352941,7,0.907749633,0.602069491,0.75,0.0281618,0.3890809,bug
47,"lines not having a lower-case letter , not the string <M0> , nor vowels","Lines have no lowercase letters, no <M0> strings, and no phonetics",~ ( ( [ <LOW> ] ) & ( <M0> ) & ( <M1> ) ),行没有小写字母，没有字符串<M0> ，也没有元音,~ ( ( [ <LOW> ] ) & ( <M0> ) & ( [ <VOW> ] ) + ),0.445960739,0.863257788,0.438516131,0.428571429,TRUE,no intersection,0.838095238,1,0.92688172,0.563380282,9,0.951538212,0.521912397,0.866666667,1,0.933333333,bug
48,lines starting with the string <M0> in front of a lower-case letter or the string <M1>,A <M0> line that starts with a string before a lowercase letter or string <M1>,( \ b ( . ) ( . * ) ) . * ( [ <LOW> ] ) . *,从<M0> 小写字母或字符串前的字符串开始的行<M1>,( ( <M0> ) ( . * ) ) . * ( ( [ <LOW> ] ) | ( <M1> ) ) . *,0.437040607,0.874599054,0.678686165,0.523809524,TRUE,subset,0.558441558,0,0.252199413,0.558139535,11,0.954920005,0.66026797,0.636363636,0,0.318181818,bug
49,"lines not having a character , not a vowel , and not a letter","A line does not have a character, no phonetics, not a letter",~ ( ( . ) & ( <M0> ) & ( [ <LET> ] ) ),行没有一个字符，没有元音，而不是一个字母,~ ( ( . ) & ( [ <VOW> ] ) & ( [ <LET> ] ) ),0.575256944,0.966194471,0.612455665,0.380952381,TRUE,no intersection,0.913265306,1,0.960829493,0.639344262,8,0.982232372,0.622114339,0.928571429,1,0.964285714,bug
50,lines with a lower-case letter and a vowel before a letter,A line with lowercase letters and a phonetic tone in front of a letter,( ( [ <LET> ] ) + & ( <M0> ) ) . * ( [ <LET> ] ) . *,字母前带有小写字母和元音的行,( ( [ <LOW> ] ) & ( [ <VOW> ] ) ) . * ( [ <LET> ] ) . *,0.556920799,0.718184991,0.425579173,0.142857143,TRUE,no intersection,0.785714286,0,0.35483871,0.628571429,3,0.9082797,0.514459759,0.823529412,0,0.411764706,bug
51,lines consisting of the string <M0>,A line made <M0> up of strings,. * ( [ <NUM> ] ) . * ( [ <NUM> ] ) . * . *,由字符串<M0> 组成的行,. * <M0> . *,0.07061436,0.636225828,0.254191719,0.238095238,TRUE,intersection,0.132653061,0,0.059907834,0.342857143,5,0.883840719,0.415728002,0.285714286,0,0.142857143,bug
52,"lines not having the string <M0> , the string <M1> , or a character","A line that <M0> does not have a <M1> string, character, or character",. * ( <M0> ) . * ~ ( ( <M1> ) & ( . ) & ( . ) ) . *,没有字符<M0> 串、字符<M1> 或字符的行,~ ( ( <M0> ) | ( <M1> ) | ( . ) ),0.177742735,0.862313215,0.58043411,0.428571429,TRUE,intersection,0.313664596,0,0.141654979,0.405797101,9,0.951256554,0.603667572,0.434782609,0,0.217391304,bug
53,"lines arranged with vowels or the string <M0> , up to 7 times in total",Lines arranged with phonetic or chords <M0> up to 7 times in total,"( ( <M1> ) | ( <M0> ) ) { , 7 }",用元音或弦排列的线<M0> 条，总共多达7次,"( ( [ <VOW> ] ) + | ( <M0> ) ) { , 7 }",0.775758697,0.890847437,0.736265244,0.380952381,TRUE,intersection,0.779220779,0.00179856,0.352892465,0.757142857,8,0.959765027,0.693437747,0.818181818,0.00179856,0.409990189,bug
54,"lines having either a lower-case letter , a vowel , or a capital letter before a character","A line has a lowercase letter, a yuan tone, or a character before a capital letter",( ( [ <LOW> ] ) | ( <M0> ) | ( . ) ) . * ( [ <CAP> ] ) . *,行有一个小写字母，元音，或大写字母之前的字符,( ( [ <LOW> ] ) | ( [ <VOW> ] ) | ( [ <CAP> ] ) ) . * ( . ) . *,0.394818653,0.807600728,0.755240726,0.333333333,TRUE,intersection,0.817857143,0.26681,0.51567,0.533333333,7,0.934942119,0.704369017,0.85,0.26681,0.558405,bug
55,the line begins with a character in front of a vowel at least once,The line starts with a character at least once before the phonetic,( . ) + . * ( <M0> ) . *,行开始与一个字符在元音前至少一次,( ( . ) ( . * ) ) . * ( ( [ <VOW> ] ) + ) . *,0.389660857,0.582643168,0.651317921,0.19047619,TRUE,superset,0.360902256,9.77E-06,0.162993474,0.53030303,4,0.867863181,0.644501852,0.473684211,9.77E-06,0.236846991,bug
56,lines arranged with a word that has the string <M0> followed by a character,"Lines are arranged with one word, one <M0> character, and then one character",( ( \ b . * \ b ) & ( <M0> ) ) & ( . ) ),行排列有一个单词，有字符<M0> ，然后一个字符,\ b <M0> . * . . * \ b,0.270895828,0.096350906,0.48356058,1,TRUE,no intersection,0,0,0,0.460526316,21,0.722858193,0.547861306,0.176470588,0,0.088235294,bug
57,"strings not having a letter , not the string <M0> , instead of a vowel","Strings have no letters, no <M0> strings, not phonetics",\ b ( [ <NUM> ] ) + . * ( ~ ( [ <NUM> ] ) ) . * \ b,字符串没有字母，没有字符串<M0> ，而不是元音,~ ( ( [ <LET> ] ) & ( <M0> ) & ( [ <VOW> ] ) ),0.289452258,0.513682822,0.309193354,0.380952381,TRUE,superset,0.089285714,0,0.040322581,0.471428571,8,0.847300251,0.447412981,0.25,0,0.125,bug
58,"lines with a vowel , 5 or greater times in front of a lower-case letter","Lines with metatytes, 5 or more times before lowercase letters","( ( <M0> ) { 5 , } ) . * ( [ <LOW> ] ) + . *",带有元音的线条，在小写字母前 5 次或 5 次以上,"( ( [ <VOW> ] ) { 5 , } ) . * ( [ <LOW> ] ) . *",0.493906444,0.470261561,0.425724649,0.380952381,TRUE,subset,0.826530612,0,0.373271889,0.591549296,8,0.834352688,0.514543564,0.857142857,0,0.428571429,bug
59,rows with words that don't have a vowel at least once,"OK, no unant at least once",~ ( ( <M0> ) + ),行的话，没有元音至少一次,\ b ~ ( ( [ <VOW> ] ) + ) \ b,0.129338156,0,0,0.428571429,TRUE,superset,0.595238095,0,0.268817204,0.377358491,9,0.694127812,0.269294908,0.666666667,0,0.333333333,bug
60,lines not having a lower-case letter and not a number,"The line does not have a lowercase letter, not a number",~ ( ( [ <LOW> ] ) & ( [ <NUM> ] ) ),行没有一个小写字母，而不是一个数字,~ ( ( [ <LOW> ] ) & ( [ <NUM> ] ) ),0.693970796,0.851165616,0.775803318,0.380952381,TRUE,equivalence,1,1,1,0.709090909,8,0.947932509,0.71621458,1,1,1,correct
61,"lines with digits , 5 or more times","Rows with numbers, 5 or more times","( [ <LET> ] + ) { 5 , }",带数字的行，5次或更多次,"( [ <NUM> ] ) { 5 , }",0.654182087,0.886861329,0.648484121,0,TRUE,no intersection,0.514285714,0,0.232258065,0.685714286,0,0.95857643,0.642869375,0.6,0,0.3,correct
62,lines arranged with words that have the string <M0> then the string <M1> at least once,"The line arranges the word with the <M0> string, and then the <M1> string at least once",\ b ( ( <M0> ) & ( . * <M1> . * ) ) + \ b,行安排有字符串的单词<M0> ，然后字符串<M1> 至少一次,( \ b <M0> . * <M1> . * \ b ) +,0.504377345,0.866160979,0.850965591,0.666666667,TRUE,no intersection,0.46875,0,0.211693548,0.597701149,14,0.952403899,0.759513568,0.5625,0,0.28125,correct
63,"lines with a character followed by a vowel , 2 or more times","Lines and characters, followed by metans, 2 or more times","( . . * ( <M0> ) . * ) { 2 , }",行与字符，其次是元音，2次或更多次,"( . . * [ <VOW> ] . * ) { 2 , }",0.706865285,0.453702473,0.71421397,0.333333333,TRUE,intersection,0.668831169,9.77E-06,0.302058144,0.716666667,7,0.829415019,0.680734594,0.727272727,9.77E-06,0.363641249,bug
64,lines starting with a capital letter or a lower-case letter before a number,The number of lines that begin with capital or lowercase letters,( ( [ <CAP> ] ) | ( [ <LOW> ] ) + ),以大写字母或小写字母开始的行数,( ( [ <CAP> ] ) ( . * ) ) | ( ( [ <LOW> ] ) . * ( [ <NUM> ] ) . * ),0.054404145,0.74661789,0.533623981,0.476190476,TRUE,intersection,0.282467532,0.0099,0.132995015,0.333333333,10,0.91675796,0.576701501,0.409090909,0.0099,0.209495455,bug
65,the line starts with a vowel or containing the string <M0>,The line begins with a unant or <M0> contains a string,( ( ( <M1> ) . * ) | ( ( <M0> ) . * ) ),行以元音或包含字符串<M0> 开头,( ( [ <VOW> ] ) ( . * ) ) | ( . * <M0> . * ),0.396775058,0.35000987,0.539410108,0.380952381,TRUE,subset,0.428571429,2.48E-05,0.193561984,0.534482759,8,0.798495455,0.580034735,0.529411765,2.48E-05,0.26471828,bug
