,NL1,NL1t,RE1,RE1t,Translation_Label_Consistent,NL2,Relation,LEVEN_Norm,BLEU_Norm,SBERT_Norm,DEP_Norm,REG_Norm,DFA_Norm,HYB_Norm,Bug_Type_Evaluator1,Bug_Type_Evaluator2,Translation_Label_Consistent.1,Unnamed: 18,Comment
10,"strings ending with the string <M0> then a character , zero or more times","String ending with string <M0>, then character, 0 or more times",( ( . * ) ( <M0> . * . . * ) ) *,( ( . * ) ( <M0> . * . . * ) ) *,correct,文字列<M0>で終わる文字列、次に文字、0回以上,intersection,0.7815106757480680,0.6734813427154260,0.8343158461115220,0.3333333333333330,1.0,1.0,1.0,1.0,1,bug,TRUE,
11,"lines with the string <M0> or containing only the string <M1> , three or more times",Lines containing the string <M0> or lines containing only the string <M1> three or more times,"( ( <M0> ) | ( <M1> ) ) { 3 , }","( ( <M0> ) | ( <M1> ) ) { 3 , }",correct,文字列<M0>を含む行、または文字列<M1>のみを含む行を3回以上含む行,subset,0.7792395026130840,0.7816472748086660,0.9511570751474850,0.5333333333333330,1.0,1.0,1.0,1.0,1,bug,TRUE,Need check
12,lines starting with letters and containing the string <M0>,Lines that start with a character and contain the string <M0>,( ( [ <LET> ] ) + ( . * ) ) & ( . * <M0> . * ),( ( . ) + ( . * ) ) & ( . * <M0> . * ),bug,文字で始まり、文字列<M0>を含む行,subset,0.5855847605092050,0.5944421546939050,0.7285811857553730,0.26666666666666700,0.9444444444444440,0.91338,0.9289122222222220,1.0,1,bug,TRUE,Need check
13,"lines with a lower-case letter or a vowel , 6 or more times","Lines with lowercase or vowels, 6 or more times","( ( [ <LOW> ] ) | ( [ <VOW> ] ) ) { 6 , }","( ( [ <VOW> ] ) + { 6 , } ) | ( [ <VOW> ] ) + { 6 , }",correct,小文字または母音のある行、6回以上,error re!,0.7230375911372040,0.6088093736201260,0.9045638358295330,0.3333333333333330,0.6153846153846150,0.0,0.3076923076923080,1.0,1,bug,TRUE,
14,"lines arranged with vowels then an uppercase letter , 6 or more times","Lines arranged in vowels and capital letters, 6 times or more","( [ <VOW> ] . * [ <CAP> ] . * ) { 6 , }","( [ <VOW> ] . * [ <CAP> ] . * ) { 6 , }",correct,母音と大文字で配置された行、6回以上,error re!,0.4878957169459960,0.5418222281313360,0.8122870595683560,0.4666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
15,lines with a number followed by a character at least once,A line with a number followed by a letter at least once,( [ <NUM> ] . * . . * ) +,( [ <NUM> ] . * [ <LET> ] . * ) +,bug,数字の後に文字が少なくとも1回続く行,superset,0.8250514554542790,0.8050659754793290,0.5166805006428220,0.4666666666666670,0.8888888888888890,-1.0,0.4444444444444440,0.0,0,correct,TRUE,Need check
16,lines consisting of the string <M0>,A line consisting of the string <M0>,. * <M0> . *,. * <M0> . *,correct,文字列<M0>で構成される行,equivalence,0.9208566108007460,0.9021475800695810,0.9783147767669740,0.06666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
17,lines containing a lower-case letter at least one time in front of a character,Lines that contain at least one lowercase letter before the character,. * ( ( [ <LOW> ] ) + ) . * ( . ) . * . *,. * ( ( [ <LOW> ] ) + ) . * ( . ) . * . *,correct,文字の前に少なくとも1回小文字を含む行,subset,0.31958172181635900,0.5779929352284280,0.70610910426651,0.7333333333333330,1.0,1.0,1.0,1.0,1,bug,TRUE,
18,"lines with words that have either the string <M0> , an uppercase letter , or digits","Lines containing words that contain either the string <M0>, uppercase letters, or numbers",\ b ( <M0> ) | ( [ <CAP> ] ) | ( [ <NUM> ] ) + \ b,\ b ( <M0> ) | ( [ <CAP> ] ) + |( [ <NUM> ] ) + \ b,bug,文字列<M0>、大文字、または数字のいずれかを含む単語を含む行,subset,0.6381269223526460,0.6036223860045790,0.9319402372500610,0.6,0.9333333333333330,0.0505617,0.4919475166666670,0.0,0,correct,TRUE,Plural
19,"lines arranged with a vowel before a capital letter , greater than or equal to 6 times in total","Lines with vowels in front of uppercase letters, totaling 6 times or more","( [ <VOW> ] ) . * ( ( [ <CAP> ] ) { 6 , } ) . *","( [ <VOW> ] ) + . * ( ( [ <LET> ] ) + { 6 , } ) . *",bug,大文字の前に母音が配置された行で、合計6倍以上,error re!,0.28403410761540700,0.32463636472846300,0.7258906069005890,0.8666666666666670,0.8,0.0,0.4,1.0,1,bug,TRUE,
20,"lines arranged with the string <M0> before a string that is not a vowel , 2 or more times","Lines placed with the string <M0> before a non-vowel string, more than once","( <M0> ) . * ( ~ ( ( [ <VOW> ] ) { 2 , } ) ) . *","( <M0> ) . * ( ~ ( ( [ <VOW> ] ) { 2 , } ) ) . *",correct,母音ではない文字列の前に文字列<M0>で配置された行、2回以上,equivalence,0.4504425334253970,0.573632391662654,0.6229280505092800,0.7333333333333330,1.0,1.0,1.0,0.0,0,correct,TRUE,Need check
21,"lines not having the string <M0> , not characters , nor a number","Lines that do not contain the string <M0>, letters, or numbers",~ ( ( <M0> ) & ( . ) + & ( [ <NUM> ] ) ),~ ( ( <M0> ) & ( . ) + & ( [ <NUM> ] ) ),correct,文字列<M0>、文字、数字を含まない行,superset,0.425628491620112,0.4830071467891860,0.5627052538503880,0.4,1.0,1.0,1.0,0.0,0,correct,TRUE,
22,lines with numbers or a vowel at least one time ,Lines with numbers or vowels at least once,( ( [ <NUM> ] ) + | ( [ <VOW> ] ) ) +,( ( [ <NUM> ] ) + | ( [ <VOW> ] ) + ) +,correct,少なくとも1回は数字または母音のある行,equivalence,0.760242085661081,0.7079903561679260,0.9105925523789830,0.26666666666666700,0.9166666666666670,1.0,0.9583333333333330,1.0,1,bug,TRUE,
23,"lines not containing only the string <M0> , greater than or equal to 0 times",Zero or more lines that do not contain only the string <M0>,~ ( ( <M0> ) * ),\ b ~ ( <M0> ) \ b,bug,文字列<M0>のみを含まない、0回以上の行,subset,0.03043222581593680,0.496066296840921,0.6275894086271080,0.7333333333333330,0.4285714285714290,0.0,0.2142857142857140,0.0,0,correct,TRUE,
24,"rows with a number , 7 or more times",Rows with 7 or more times,"( [ <NUM> ] ) { 7 , }","( . ) { 7 , }",bug,数が7回以上の行,equivalence,0.599627560521416,0.5730822312215660,0.9208900827488160,0.2,0.75,-1.0,0.375,0.0,0,correct,TRUE,Need check
25,"lines ending with vowels , zero or more times","Lines ending with a vowel, 0 or more times",( ( . * ) ( [ <VOW> ] ) + ) *,( ( . * ) ( [ <VOW> ] ) ) *,bug,母音で終わる行、0回以上,equivalence,0.7709497206703920,0.7326003569154370,0.7247064544603590,0.2,0.9090909090909090,1.0,0.9545454545454550,1.0,1,bug,TRUE,
26,lines arranged with a number followed by the string <M0> before a letter,Lines where characters are preceded by numbers followed by the string <M0>,( [ <NUM> ] . * <M0> . * ) . * ( [ <LET> ] ) . *,( . * ) ( . * ) . * ( [ <NUM> ] . * <M0> . * ),bug,文字の前に数字の後に文字列<M0>が続く行,subset,0.26392873320247600,0.5425164688546500,0.7279886137619270,0.7333333333333330,0.5555555555555560,0.28888,0.4222177777777780,0.0,0,correct,TRUE,Need check
27,"strings with a lower-case letter or an uppercase letter , 7 or more times","Lowercase or uppercase string, 7 times or more","( . * ) ( ( [ <LOW> ] ) | ( [ <CAP> ] ) ) { 7 , } ( . * )","( ( [ <LOW> ] ) | ( [ <CAP> ] ) ) { 7 , }",bug,小文字または大文字の文字列、7回以上,intersection,0.25346292186423900,0.3950361301371940,0.7199651599221860,0.6,0.5555555555555560,0.0156,0.28557777777777800,1.0,1,bug,TRUE,
28,lines ending with words that contain only an uppercase letter,Lines ending with a word containing only uppercase letters,( . * ) ( \ b [ <CAP> ] \ b ),( . * ) ( \ b [ <CAP> ] + \ b ),bug,大文字のみを含む単語で終わる行,subset,0.6909057606007880,0.7464195682524880,0.9201395197609230,0.2,0.9,0.71111,0.805555,0.0,0,correct,TRUE,Quantifier
29,lines containing only a letter,Lines containing only characters,[ <LET> ],( . ) +,bug,文字のみを含む行,error re!,0.7067039106145260,0.6521629876607270,0.5991676635171100,0.06666666666666670,0.0,0.0128968,0.0064484,0.0,0,correct,TRUE,Quantifier
30,rows not having a vowel then a character,Lines without vowels and letters,~ ( [ <VOW> ] . * . . * ),( ~ ( [ <VOW> ] ) + ) & ( ~ ( \b [ <LET> ] \ b ) ) ,bug,母音と文字がない行,intersection,0.1606145251396650,0.059910133064405700,0.689846784992783,0.7333333333333330,0.25,-1.0,0.125,1.0,1,bug,TRUE,Need check
31,lines with a vowel or lettered words at least once,Lines that contain at least one vowel or letter word,( ( [ <VOW> ] ) | ( \ b [ <LET> ] \ b ) + ) +,( ( [ <VOW> ] ) | ( \ b [ <LET> ] \ b ) + ) +,correct,母音または文字の単語が少なくとも1回含まれている行,intersection,0.2125053717232480,0.611515810120993,0.8501431774684690,0.8,1.0,1.0,1.0,1.0,1,bug,TRUE,
32,"rows with words that have a character , 2 or greater times",Lines containing words containing two or more characters,"\ b ( . ) { 2 , } \ b","\ b ( . ) { 2 , } \ b",correct,2回以上の文字を含む単語を含む行,subset,0.008861491042188500,0.23903647048772800,0.45108897535134600,0.6666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
33,"strings with a letter followed by a lower-case letter , zero or more times","Character string followed by lowercase letters, 0 or more times",( [ <LET> ] . * [ <LOW> ] . * ) *,( . * [ <LET> ] . * [ <LET> ] . * . * ) *,bug,文字の後に小文字が続く文字列、0回以上,subset,0.559112184810509,0.5793876489049030,0.6380817782767580,0.6,0.6153846153846150,1.0,0.8076923076923080,0.0,0,correct,TRUE,Need check
34,"lines with words that don't have a character , 0 or more times","Lines containing words that do not contain letters, 0 or more times",( \ b ~ ( . ) \ b ) *,. * \ b ( . ) + * \ b . *,bug,文字を含まない単語を含む行、0回以上,error re!,0.548486617193363,0.47447010187521700,0.9318600577517250,0.4666666666666670,0.4545454545454550,0.0,0.2272727272727270,1.0,1,bug,TRUE,
35,"strings with a character or a number , seven or more times","String containing letters or numbers, 7 times or more","( ( . ) | ( [ <NUM> ] ) ) { 7 , }","( [ < LET > ] | ( [ <NUM> ] ) ) { 7 , }",bug,文字または数字を含む文字列、7回以上,superset,0.34116740512425300,0.3546126478748050,0.5297855677981580,0.5333333333333330,0.7,0.0461538,0.3730769,1.0,1,bug,TRUE,
36,"lines ending with the string <M0> followed by a character , up to 3 times","Lines ending with the string <M0> followed by a character, up to 3 times","( ( . * ) ( <M0> . * . . * ) ) { , 3 }","( ( . * ) ( <M0> . * . . * ) ) { , 3 }",correct,文字列<M0>で終わり、その後に文字が続く行、最大3回,equivalence,0.9927297773015990,0.9673953584091670,1.0,0.0,1.0,1.0,1.0,1.0,1,bug,TRUE,
37,"strings preceded by the string <M0> , up to 6 times","String preceded by string <M0>, up to 6 times","( ( <M0> ) ( . * ) ) { , 6 }","( ( <M0> ) ( . * ) ) { , 6 }",correct,文字列<M0>が前に付いた文字列、最大6回,subset,0.8515719136816750,0.7567008557093680,0.9787913101034390,0.06666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
38,lines not having the string <M0> or starting with the string <M1>,Lines without the string <M0> or lines starting with the string <M1>,( ~ ( <M0> ) ) | ( ( <M1> ) ( . * ) ),( ~ ( <M0> ) ) | ( ( <M1> ) ( . * ) ),correct,文字列<M0>がない行、または文字列<M1>で始まる行,equivalence,0.7444955635885640,0.7793046836488830,0.8728800224741600,0.4,1.0,1.0,1.0,1.0,1,bug,TRUE,
39,lines containing the string <M0> before a vowel and the string <M1>,Line containing the string <M0> and the string <M1> before the vowel,. * ( ( <M0> ) . * ( [ <VOW> ] ) . * ) & ( <M1> ) . *,( . * <M0> . * ) & ( ( <M1> ) . * ( [ <VOW> ] ) . * ),bug,母音の前の文字列<M0>と文字列<M1>を含む行,subset,0.38547486033519600,0.8633109910714760,0.9588570384590960,0.0,0.45000000000000000,0.14957,0.29978500000000000,0.0,0,correct,TRUE,
40,rows with words that have starting with lettered words at least one time ,Lines that contain a word that begins with a lettered word at least once,\ b ( ( [ <LET> ] ) + ( . * ) ) + \ b,. * \ b ( [ <LET> ] ) + ( . * ) \ b . *,bug,文字付きの単語で始まる単語が少なくとも1回含まれている行,subset,0.3766740644371320,0.51938365030128,0.8525726904395320,1.0,0.5714285714285710,0.340425,0.4559267857142860,1.0,1,bug,TRUE,
41,lines with the string <M0> at least once and not the string <M1>,Lines that contain the string <M0> at least once instead of the string <M1>,( ( <M0> ) + ) & ( ~ ( <M1> ) ),( ( <M0> ) + ) & ( ~ ( <M1> ) ),correct,文字列<M1>ではなく文字列<M0>を少なくとも1回含む行,no intersection,0.7024208566108020,0.6409552262220980,0.5806715656986810,0.8666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
42,the line starts with characters or a number before a letter,Lines start with a letter or the number before the letter,( ( . ) + | ( ( [ <NUM> ] ) . * ( [ <LET> ] ) . * ) ) ( . * ),( ( [ <LET> ] ) | ( ( [ <NUM> ] ) ( . * ) ) ) . * ( [ <LET> ] ) . *,bug,行は文字または文字の前の数字で始まります,superset,0.5923681469557810,0.6253226521159060,0.8818457093678980,0.0,0.6086956521739130,0.141865,0.37528032608695700,0.0,0,correct,TRUE,Need check
43,"lines with a number before a vowel , up to 2 times","Lines with numbers in front of vowels, up to 2 times","( [ <NUM> ] ) . * ( ( [ <VOW> ] ) { , 2 } ) . *","( [ <NUM> ] ) + . * ( ( [ <VOW> ] ) + { , 2 } ) . *",bug,母音の前に数字が付いた行、最大2回,error re!,0.7067039106145260,0.5966457189361340,0.9057975599656060,0.4,0.8666666666666670,0.0,0.43333333333333300,1.0,1,bug,TRUE,
44,lines starting with the string <M0> or a vowel,Lines starting with the string <M0> or a vowel,( ( <M0> ) | ( [ <VOW> ] ) ) ( . * ),( ( <M0> ) | ( [ <VOW> ] ) ) ( . * ),correct,文字列<M0>または母音で始まる行,equivalence,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,bug,TRUE,
45,"lines containing either a lower-case letter , a capitalized letter , or the string <M0>","Lines containing either lowercase, uppercase, or the string <M0>",. * ( [ <LOW> ] ) | ( [ <CAP> ] ) | ( <M0> ) . *,. * ( [ <LOW> ] ) | ( [ <CAP> ] ) | ( <M0> ) . *,correct,小文字、大文字、または文字列<M0>のいずれかを含む行,intersection,0.5848584087844340,0.5054646737957550,0.7218931611522930,0.4,1.0,1.0,1.0,1.0,1,bug,TRUE,
46,lines with a number or containing only the string <M0> at least once,Lines with numbers or lines containing only the string <M0> at least once,( ( [ <NUM> ] ) | ( <M0> ) ) +,( ( [ <NUM> ] ) + | ( <M0> ) ) +,bug,数字のある行、または文字列<M0>のみを少なくとも1回含む行,equivalence,0.851917042932579,0.8585297081931040,0.9078659358659870,0.26666666666666700,0.9090909090909090,1.0,0.9545454545454550,1.0,1,bug,TRUE,
47,"lines not having a lower-case letter , not the string <M0> , nor vowels","Lines that do not contain lowercase letters, string <M0>, vowels",~ ( ( [ <LOW> ] ) & ( <M0> ) & ( [ <VOW> ] ) + ),~ ( ( [ <LOW> ] ) & ( <M0> ) & ( [ <VOW> ] ) + ),correct,小文字、文字列<M0>、母音が含まれていない行,superset,0.4669132111102370,0.5193175882464090,0.37123632097081100,0.8,1.0,1.0,1.0,1.0,1,bug,TRUE,
48,lines starting with the string <M0> in front of a lower-case letter or the string <M1>,Lines beginning with the string <M0> or the string <M1> before the lowercase letters,( ( <M0> ) ( . * ) ) . * ( ( [ <LOW> ] ) | ( <M1> ) ) . *,( ( <M0> ) | ( ( <M1> ) . * ( [ <VOW> ] ) + . * ) ) ( . * ),bug,小文字の前の文字列<M0>または文字列<M1>で始まる行,subset,0.2958295439781740,0.6785953711578670,0.8894516741160340,0.4,0.5217391304347830,9.530799E-05,0.2609172192123910,0.0,0,correct,TRUE,Order
49,"lines not having a character , not a vowel , and not a letter","Lines without letters, vowels, letters",~ ( ( . ) & ( [ <VOW> ] ) & ( [ <LET> ] ) ),~ ( ( [ <LET> ] ) + | ( [ <VOW> ] ) + & ( [ <LET> ] ) + ),bug,文字、母音、文字を含まない行,superset,0.2696217602344550,0.1423385462263860,0.5415665112067110,0.8666666666666670,0.7058823529411760,0.0,0.3529411764705880,1.0,1,bug,TRUE,
50,lines with a lower-case letter and a vowel before a letter,Lines with lowercase letters and vowels before letters,( ( [ <LOW> ] ) & ( [ <VOW> ] ) ) . * ( [ <LET> ] ) . *,( ( [ <LOW> ] ) & ( [ <VOW> ] ) ) . * ( [ <LET> ] ) . *,correct,小文字と文字の前に母音がある行,subset,0.7842419572336740,0.6958056075722710,0.8002474359534580,0.3333333333333330,1.0,1.0,1.0,0.0,0,correct,TRUE,Plural
51,lines consisting of the string <M0>,A line consisting of the string <M0>,. * <M0> . *,. * <M0> . *,correct,文字列<M0>で構成される行,equivalence,0.9208566108007460,0.9021475800695810,0.9783147767669740,0.06666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
52,"lines not having the string <M0> , the string <M1> , or a character","String <M0>, string <M1>, or a line that does not contain a character",~ ( ( <M0> ) | ( <M1> ) | ( . ) ),| ( <M1> ) . *,bug,文字列<M0>、文字列<M1>、または文字を含まない行,superset,0.20856610800744900,0.6193095477993590,0.7063955049249790,0.4666666666666670,0.3571428571428570,0.0,0.17857142857142900,0.0,0,correct,TRUE,
53,"lines arranged with vowels or the string <M0> , up to 7 times in total","Lines arranged with vowels or strings <M0>, up to 7 times in total","( ( [ <VOW> ] ) + | ( <M0> ) ) { , 7 }","( ( [ <VOW> ] ) + | ( <M0> ) ) { , 7 }",correct,母音または文字列<M0>で配置された行、合計で最大7回,intersection,0.8994413407821240,0.85100559206536,0.9886810960722980,0.2,1.0,1.0,1.0,1.0,1,bug,TRUE,
54,"lines having either a lower-case letter , a vowel , or a capital letter before a character","Lines that contain either lowercase letters, vowels, or uppercase letters before the letters",( ( [ <LOW> ] ) | ( [ <VOW> ] ) | ( [ <CAP> ] ) ) . * ( . ) . *,. * ( ( [ <LET> ] ) + | ( [ <VOW> ] ) + | ( [ <LET> ] ) + ) . * ( [ <LET> ] ) + . * . *,bug,文字の前に小文字、母音、または大文字のいずれかが含まれる行,intersection,0.5251396648044700,0.4574722374842190,0.773049143706149,0.6666666666666670,0.6071428571428570,0.382678,0.49491042857142900,0.0,0,correct,TRUE,Plural
55,the line begins with a character in front of a vowel at least once,The line begins with the letter that precedes the vowel at least once,( ( . ) ( . * ) ) . * ( ( [ <VOW> ] ) + ) . *,( ( \ b ( [ <VOW> ] ) + \ b ) ( . * ) ),bug,行は、少なくとも1回は母音の前にある文字で始まります,intersection,0.599627560521416,0.5755647649242410,0.6784896933849620,0.4666666666666670,0.368421052631579,0.0001356668,0.18427835971578900,1.0,1,bug,TRUE,
56,lines arranged with a word that has the string <M0> followed by a character,Lines placed with words that follow the string <M0>,\ b <M0> . * . . * \ b,\ b ( <M0> ) & ( \ b \ b ),bug,文字列<M0>の後に文字が続く単語で配置された行,no intersection,0.35977653631284900,0.4511287332975720,0.8644415997770310,0.4666666666666670,0.2222222222222220,0.0,0.1111111111111110,0.0,0,correct,TRUE,
57,"strings not having a letter , not the string <M0> , instead of a vowel","Instead of a vowel, a string without a character, not the string <M0>",~ ( ( [ <LET> ] ) & ( <M0> ) & ( [ <VOW> ] ) ),~ ( ( [ <VOW> ] ) & ( . ) & ( [ <M0> ] ) ),correct,母音の代わりに、文字列<M0>ではなく、文字を持たない文字列,equivalence,0.0,0.6198667278128570,0.7956658674189410,0.4,0.6875,0.0,0.34375,0.0,0,correct,TRUE,
58,"lines with a vowel , 5 or greater times in front of a lower-case letter","Lines with vowels, 5 or more times before lowercase letters","( ( [ <VOW> ] ) { 5 , } ) . * ( [ <LOW> ] ) . *","( ( [ <VOW> ] ) { 5 , } ) . * ( [ <LOW> ] ) . *",correct,母音のある行、小文字の前に5回以上,error re!,0.6116925013769770,0.4871011598635750,0.713847321930032,0.5333333333333330,1.0,1.0,1.0,1.0,1,bug,TRUE,
59,rows with words that don't have a vowel at least once,Lines containing words without vowels at least once,\ b ~ ( ( [ <VOW> ] ) + ) \ b,\ b ~ ( ( [ <VOW> ] ) + ) \ b,correct,少なくとも1回は母音がない単語を含む行,error re!,0.34910930747338500,0.47976131754693400,0.632915379818582,0.5333333333333330,1.0,1.0,1.0,1.0,1,bug,TRUE,
60,lines not having a lower-case letter and not a number,Lines without lowercase letters and numbers,~ ( ( [ <LOW> ] ) & ( [ <NUM> ] ) ),~ ( ( [ <LOW> ] ) & ( [ <NUM> ] ) ),correct,小文字と数字がない行,equivalence,0.5430589227363760,0.45744980992041400,0.779780404698361,0.6666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
61,"lines with digits , 5 or more times","Lines with numbers, 5 times or more","( [ <NUM> ] ) { 5 , }","( [ <NUM> ] ) { 5 , }",correct,数字のある行、5回以上,error re!,0.33040702314445300,0.5993785230875290,0.8543497668999060,0.13333333333333300,1.0,1.0,1.0,1.0,1,bug,TRUE,
62,lines arranged with words that have the string <M0> then the string <M1> at least once,Lines arranged with words that have the string <M0> and then the string <M1> at least once,( \ b <M0> . * <M1> . * \ b ) +,( \ b <M0> . * <M1> . * \ b ) +,correct,文字列<M0>、次に文字列<M1>を少なくとも1回持つ単語で配置された行,no intersection,0.9565487274984480,0.9478494917370700,0.990552760903047,0.2,1.0,1.0,1.0,1.0,1,bug,TRUE,
63,"lines with a character followed by a vowel , 2 or more times","Lines with letters followed by vowels, more than once","( . . * [ <VOW> ] . * ) { 2 , }","( [ <LET> ] . * [ <VOW> ] . * ) { , 2 }",bug,文字の後に母音が続く行、2回以上,intersection,0.5139664804469280,0.49831239017463300,0.35195995057284100,0.6,0.7777777777777780,0.825396,0.8015868888888890,1.0,1,bug,TRUE,Need check
64,lines starting with a capital letter or a lower-case letter before a number,Lines that start with a case before the number,( ( [ <CAP> ] ) ( . * ) ) | ( ( [ <LOW> ] ) . * ( [ <NUM> ] ) . * ),( \ b ( [ <LET> ] ) ( . * ) \ b ) . * ( [ <NUM> ] ) . *,bug,数字の前に大文字または小文字で始まる行,superset,0.3083798882681570,0.32779969871589800,0.0,0.6666666666666670,0.6363636363636360,5.6113575E-05,0.3182098749693180,0.0,0,correct,TRUE,
65,the line starts with a vowel or containing the string <M0>,The line starts with a vowel or contains the string <M0>,( ( [ <VOW> ] ) ( . * ) ) | ( . * <M0> . * ),( ( [ <VOW> ] ) ( . * ) ) | ( . * <M0> . * ),correct,行は母音で始まるか、文字列<M0>を含みます,equivalence,0.9393180504719720,0.9080249949771320,0.9856814953595740,0.0,1.0,1.0,1.0,1.0,1,bug,TRUE,
66,"lines having a vowel , characters , and a lower-case letter before the string <M0>","Lines containing vowels, characters, and lowercase letters before the string <M0>",( ( [ <VOW> ] ) & ( . ) + & ( [ <LOW> ] ) ) . * ( <M0> ) . *,( . * ( [ <VOW> ] ) + & ( . ) + & ( [ <LET> ] ) + . * ) . * ( <M0> ) . *,bug,文字列<M0>の前に母音、文字、および小文字が含まれる行,subset,0.7928873143480040,0.7305314657291270,0.9040955082019580,0.4,0.7407407407407410,0.0,0.37037037037037000,0.0,0,correct,TRUE,Plural
67,rows not having a capitalized letter at least once,Lines without at least one uppercase letter,~ ( ( [ <CAP> ] ) + ),~ ( ( [ <CAP> ] ) + ),correct,大文字の文字が少なくとも1回ない行,equivalence,0.10279329608938600,0.30488784726424400,0.7066406567790480,0.6666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
